,net_migration,net_migration,total_population,total_population
country,India,Pakistan,India,Pakistan
year,,,,
1960,146955.0,0.0,435990338.0,45709310.0
1961,295177.0,-66991.0,446564729.0,46921277.0
1962,-70514.0,-65780.0,457283090.0,48156128.0
1963,21640.0,-64552.0,468138575.0,49447776.0
1964,-141916.0,-63298.0,479229598.0,50799999.0
1965,-248299.0,-62070.0,490140146.0,52209010.0
1966,-566982.0,-61025.0,500740247.0,53678667.0
1967,-70314.0,-59932.0,511606372.0,55214768.0
1968,-995416.0,-58721.0,522716889.0,56810507.0
1969,-851844.0,-57406.0,533880544.0,58460939.0
1970,233782.0,-58281.0,545864268.0,60166719.0
1971,-974574.0,-68357.0,558096387.0,61847899.0
1972,-82816.0,-69209.0,570482142.0,63583194.0
1973,-404743.0,-58012.0,583465598.0,65461912.0
1974,347869.0,-34785.0,597041391.0,67415487.0
1975,434205.0,-1710.0,611309535.0,69461175.0
1976,275984.0,48238.0,625861883.0,71620254.0
1977,590626.0,85250.0,640801103.0,73901827.0
1978,-210444.0,111386.0,655728229.0,76307379.0
1979,774094.0,450003.0,671155747.0,78997039.0
1980,210914.0,1078229.0,687354025.0,82291010.0
1981,33243.0,555032.0,703696250.0,85802049.0
1982,-10687.0,294252.0,720313473.0,89089246.0
1983,119694.0,-4753.0,737372681.0,92227711.0
1984,-32313.0,-319242.0,754875449.0,95164936.0
1985,-89991.0,68860.0,772647793.0,98229285.0
1986,-249545.0,111045.0,790689978.0,101606764.0
1987,-219150.0,146364.0,808931270.0,105130717.0
1988,-155676.0,38139.0,827342990.0,108724739.0
1989,-2907.0,-17164.0,846039529.0,112336629.0
1990,125514.0,275242.0,864972221.0,116155576.0
1991,-157911.0,-19668.0,883927600.0,120060406.0
1992,35155.0,-718387.0,902957070.0,123546848.0
1993,2364.0,-139493.0,922118387.0,127020117.0
1994,-375253.0,-277100.0,941163767.0,130748083.0
1995,-57297.0,11534.0,960301044.0,134582253.0
1996,-26388.0,-60855.0,979678458.0,138557092.0
1997,880.0,-55539.0,999133762.0,142531804.0
1998,-1049.0,-112191.0,1018665080.0,146522356.0
1999,-95320.0,-134510.0,1038225823.0,150565377.0
2000,-143960.0,252869.0,1057922733.0,154879127.0
2001,-70346.0,-54727.0,1077898575.0,159270907.0
2002,-732419.0,-653758.0,1097600380.0,163222549.0
2003,-606970.0,-219118.0,1116803006.0,167110248.0
2004,-206660.0,-64669.0,1135991513.0,171286000.0
2005,-929454.0,-189899.0,1154676322.0,175453212.0
2006,-342177.0,-183933.0,1172878890.0,179682690.0
2007,-1037200.0,576349.0,1190676021.0,184493231.0
2008,-1020047.0,-140746.0,1207930964.0,189499113.0
2009,-312905.0,-18298.0,1225524753.0,194376534.0
2010,-50905.0,-431902.0,1243481564.0,199239047.0
2011,-247017.0,-890633.0,1261224954.0,203746065.0
2012,-198935.0,-1647989.0,1278674502.0,207667125.0
2013,-151372.0,-1906319.0,1295829511.0,211073978.0
2014,-227263.0,-2037920.0,1312277191.0,214264647.0
2015,-655085.0,-2172162.0,1328024498.0,217290883.0
2016,81248.0,-2290411.0,1343944296.0,220138869.0
2017,-251642.0,-1574585.0,1359657400.0,223273967.0
2018,-589794.0,-1309611.0,1374659064.0,226928892.0
2019,-978969.0,-1177220.0,1389030312.0,230800899.0
2020,-73806.0,-559291.0,1402617695.0,235001746.0
2021,-348916.0,-565673.0,1414203896.0,239477801.0
2022,-1353478.0,-1322625.0,1425423212.0,243700667.0
2023,-979179.0,-1619557.0,1438069596.0,247504495.0
2024,-630830.0,-1401173.0,1450935791.0,251269164.0
