date,India,Pakistan
1960-01-01,435990338.0,45709310.0
1961-01-01,446564729.0,46921277.0
1962-01-01,457283090.0,48156128.0
1963-01-01,468138575.0,49447776.0
1964-01-01,479229598.0,50799999.0
1965-01-01,490140146.0,52209010.0
1966-01-01,500740247.0,53678667.0
1967-01-01,511606372.0,55214768.0
1968-01-01,522716889.0,56810507.0
1969-01-01,533880544.0,58460939.0
1970-01-01,545864268.0,60166719.0
1971-01-01,558096387.0,61847899.0
1972-01-01,570482142.0,63583194.0
1973-01-01,583465598.0,65461912.0
1974-01-01,597041391.0,67415487.0
1975-01-01,611309535.0,69461175.0
1976-01-01,625861883.0,71620254.0
1977-01-01,640801103.0,73901827.0
1978-01-01,655728229.0,76307379.0
1979-01-01,671155747.0,78997039.0
1980-01-01,687354025.0,82291010.0
1981-01-01,703696250.0,85802049.0
1982-01-01,720313473.0,89089246.0
1983-01-01,737372681.0,92227711.0
1984-01-01,754875449.0,95164936.0
1985-01-01,772647793.0,98229285.0
1986-01-01,790689978.0,101606764.0
1987-01-01,808931270.0,105130717.0
1988-01-01,827342990.0,108724739.0
1989-01-01,846039529.0,112336629.0
1990-01-01,864972221.0,116155576.0
1991-01-01,883927600.0,120060406.0
1992-01-01,902957070.0,123546848.0
1993-01-01,922118387.0,127020117.0
1994-01-01,941163767.0,130748083.0
1995-01-01,960301044.0,134582253.0
1996-01-01,979678458.0,138557092.0
1997-01-01,999133762.0,142531804.0
1998-01-01,1018665080.0,146522356.0
1999-01-01,1038225823.0,150565377.0
2000-01-01,1057922733.0,154879127.0
2001-01-01,1077898575.0,159270907.0
2002-01-01,1097600380.0,163222549.0
2003-01-01,1116803006.0,167110248.0
2004-01-01,1135991513.0,171286000.0
2005-01-01,1154676322.0,175453212.0
2006-01-01,1172878890.0,179682690.0
2007-01-01,1190676021.0,184493231.0
2008-01-01,1207930964.0,189499113.0
2009-01-01,1225524753.0,194376534.0
2010-01-01,1243481564.0,199239047.0
2011-01-01,1261224954.0,203746065.0
2012-01-01,1278674502.0,207667125.0
2013-01-01,1295829511.0,211073978.0
2014-01-01,1312277191.0,214264647.0
2015-01-01,1328024498.0,217290883.0
2016-01-01,1343944296.0,220138869.0
2017-01-01,1359657400.0,223273967.0
2018-01-01,1374659064.0,226928892.0
2019-01-01,1389030312.0,230800899.0
2020-01-01,1402617695.0,235001746.0
2021-01-01,1414203896.0,239477801.0
2022-01-01,1425423212.0,243700667.0
2023-01-01,1438069596.0,247504495.0
2024-01-01,,
